"";"trabalha";"mae";"raça";"NSEAluno";"major"
"378";"Trabalhar";"Fund+";"Parda";"5.49";"Publica"
"379";"Trabalhar";"Fund+";"Parda";"5.45";"Publica"
"380";"Nao_Sabe";"Medio+";"Branca";"4.94";"Publica"
"381";"Nao_Sabe";"Medio+";"Branca";"6.07";"Pub+Pri"
"382";"Trabalhar";"Fund+";"Parda";"5.67";"Publica"
"383";"Trabalhar";"Fund+";"Branca";"5.62";"Publica"
"384";"Trabalhar";"Superior+";"Branca";"5.36";"Publica"
"385";"Trabalhar";"Fund-";"Branca";"4.23";"Publica"
"386";"Nao_Sabe";"Fund-";"Parda";"3.99";"Publica"
"387";"Estudar";"Medio+";"Parda";"6.21";"Publica"
"388";"Nao_Sabe";"Fund+";"Parda";"5.21";"Publica"
"389";"Trabalhar";"Fund+";"Preta";"5.01";"Publica"
"390";"Trabalhar";"Fund+";"Branca";"5.03";"Publica"
"391";"Nao_Sabe";"Medio+";"Branca";"5.81";"Pub+Pri"
"392";"Nao_Sabe";"Medio+";"Branca";"6.63";"Pub+Pri"
"393";"Trabalhar";"Fund-";"Parda";"5.97";"Publica"
"394";"Trabalhar";"Medio+";"Parda";"6.51";"Publica"
"395";"Trabalhar";"Fund-";"Parda";"4.64";"Publica"
"396";"Trabalhar";"Fund+";"Preta";"4.76";"Publica"
"397";"Nao_Sabe";"Superior+";"Branca";"5.74";"Publica"
"398";"Nao_Sabe";"Fund-";"Parda";"5.06";"Publica"
"399";"Nao_Sabe";"Superior+";"Branca";"5.87";"Publica"
"400";"Trabalhar";"Fund+";"Parda";"4.56";"Publica"
"401";"Trabalhar";"Fund-";"Branca";"4.5";"Publica"
"402";"Nao_Sabe";"Fund-";"Branca";"5.38";"Publica"
"403";"Nao_Sabe";"Fund-";"Branca";"6.94";"Publica"
"404";"Nao_Sabe";"Medio+";"Branca";"6.6";"Pub+Pri"
"405";"Estudar";"Medio+";"Parda";"5.33";"Publica"
"406";"Trabalhar";"Medio+";"Branca";"6.13";"Pub+Pri"
"407";"Estudar";"Fund-";"Branca";"5.63";"Publica"
"408";"Estudar";"Fund-";"Branca";"5.99";"Publica"
"409";"Estudar";"Fund+";"Branca";"5.7";"Pub+Pri"
"410";"Estudar";"Medio+";"Branca";"5.38";"Publica"
